# .fankeel/sessions scanned: 180 entries, 0 unreadable (parse failures skipped and counted), 79 carry a spend field

## block 1: per-stage (every spend-bearing session, all buckets — filter on `bucket` for the long-task end)
session	version	requests	bucket	stage	from	to	who	usd	in	out	cacheR	cacheW
25f398b0	0.72.0	338	200-799	build	1789752632510	1789754410869	parent	5.5826	66	30882	8101059	75973
25f398b0	0.72.0	338	200-799	build	1789752632510	1789754410869	agents	6.5686	342	130473	16827230	759094
25f398b0	0.72.0	338	200-799	verify	1789754705987	1789754996616	parent	2.8491	30	10583	4579196	29476
25f398b0	0.72.0	338	200-799	verify	1789754705987	1789754996616	agents	0.7271	34	34309	1205269	57140
25f398b0	0.72.0	338	200-799	land	1789755387337	1789755387337	parent	0.3660	4	894	641632	2277
290d5cd1	—	40	<50	survey	1789718896583	1789719023931	parent	3.0593	32	25995	1914608	145199
290d5cd1	—	40	<50	survey	1789718896583	1789719023931	agents	1.2707	34	40920	1312990	239528
290d5cd1	—	40	<50	build	1789719121805	1789719121805	parent	0.5983	10	4526	752600	10878
290d5cd1	—	40	<50	land	1789719253794	1789719253794	parent	0.2046	4	983	314551	2271
29290851	0.74.0	13	<50	survey	1789852951744	1789852951744	parent	1.2184	26	9585	686304	63554
294b9287	0.73.0	137	50-199	survey	1789775989447	1789775989447	parent	1.5374	22	9832	963936	80948
294b9287	0.73.0	137	50-199	design	1789776114028	1789776114028	parent	1.3109	22	13026	1406815	28173
294b9287	0.73.0	137	50-199	design	1789776114028	1789776114028	agents	0.6234	44	26876	931252	67336
294b9287	0.73.0	137	50-199	build	1789776754740	1789783433570	parent	2.5864	40	18595	3227776	50739
294b9287	0.73.0	137	50-199	build	1789776754740	1789783433570	agents	1.1089	88	42436	1933784	119046
294b9287	0.73.0	137	50-199	verify	1789783897688	1789784457402	parent	2.9789	40	19269	4228694	38258
294b9287	0.73.0	137	50-199	verify	1789783897688	1789784457402	agents	0.1953	14	7383	413549	15491
294b9287	0.73.0	137	50-199	land	1789784832128	1789784832128	parent	0.2695	4	376	459185	3047
2bbed13d	—	478	200-799	design	1789176140618	1789176842743	parent	2.9010	392	32621	1736673	121518
2bbed13d	—	478	200-799	design	1789176140618	1789176842743	agents	0.3542	36	7568	472725	73576
2bbed13d	—	478	200-799	build	1789176949171	1789182111837	parent	8.3520	1046	82668	9781566	138926
2bbed13d	—	478	200-799	build	1789176949171	1789182111837	agents	3.4314	310	75135	7149033	499866
2bbed13d	—	478	200-799	verify	1789179586399	1789199849199	parent	18.2121	1280	104592	20159358	551119
2bbed13d	—	478	200-799	verify	1789179586399	1789199849199	agents	5.1359	358	137565	8783882	801119
2bbed13d	—	478	200-799	land	1789200473666	1789200642480	parent	3.6883	384	19000	5740246	34129
3298a25a	0.74.0	57	50-199	survey	1789844883479	1789845108172	parent	0.3654	24	3330	610008	52510
3298a25a	0.74.0	57	50-199	survey	1789844883479	1789845108172	agents	1.9631	90	33526	1681892	141794
32f38b18	—	515	200-799	survey	1789710661027	1789710853320	parent	3.3014	36	36173	1997536	139817
32f38b18	—	515	200-799	survey	1789710661027	1789710853320	agents	0.7480	58	31050	995248	95323
32f38b18	—	515	200-799	plan	1789711091718	1789711631330	parent	6.0047	68	51658	7629188	89828
32f38b18	—	515	200-799	plan	1789711091718	1789711631330	agents	0.6685	38	22401	766316	116466
32f38b18	—	515	200-799	build	1789711864707	1789714465643	parent	8.3005	82	45147	12367119	98785
32f38b18	—	515	200-799	build	1789711864707	1789714465643	agents	7.0650	490	216942	13144524	906286
32f38b18	—	515	200-799	verify	1789713750058	1789715020175	parent	8.8299	130	64138	10515425	196813
32f38b18	—	515	200-799	verify	1789713750058	1789715020175	agents	1.7245	124	61582	3089550	196214
32f38b18	—	515	200-799	land	1789715361135	1789715361135	parent	0.2941	4	1310	458902	3190
34abdd48	0.74.0	9	<50	survey	1789852360844	1789852360844	parent	0.7282	18	3695	385238	44311
37250c73	—	277	200-799	survey	1789474690176	1789477147393	parent	5.2760	56	65188	4168154	156198
37250c73	—	277	200-799	survey	1789474690176	1789477147393	agents	2.2567	130	72010	3678476	320262
37250c73	—	277	200-799	build	1789477489817	1789477489817	parent	2.3742	30	20034	3230769	25779
37250c73	—	277	200-799	verify	1789477864162	1789481082917	parent	14.0805	136	100729	20315083	140409
37250c73	—	277	200-799	verify	1789477864162	1789481082917	agents	3.7036	198	132967	6638754	418301
37250c73	—	277	200-799	land	1789481455961	1789481455961	parent	0.4985	4	2731	741499	5943
38483a85	0.74.0	34	<50	survey	1789847209851	1789847209851	parent	0.2274	16	5462	358945	25234
38483a85	0.74.0	34	<50	survey	1789847209851	1789847209851	agents	1.5903	52	17106	1369588	76422
3b0008b3	0.72.0	77	50-199	build	1789770342002	1789774387181	parent	2.3068	40	14370	2036284	92919
3b0008b3	0.72.0	77	50-199	build	1789770342002	1789774387181	agents	0.8432	80	32504	1369315	97641
3b0008b3	0.72.0	77	50-199	verify	1789774891218	1789775033930	parent	1.3124	22	11072	1567453	25177
3b0008b3	0.72.0	77	50-199	verify	1789774891218	1789775033930	agents	0.0183	2	8	64441	2114
3b0008b3	0.72.0	77	50-199	land	1789775217492	1789775217492	parent	0.5062	10	2293	791153	5324
3b86035f	0.74.0	104	50-199	survey	1789844435611	1789844435611	parent	0.2968	18	2805	423319	46001
3b86035f	0.74.0	104	50-199	survey	1789844435611	1789844435611	agents	4.1201	190	73083	4769044	267575
406ba345	—	1331	800+	survey	1788984949268	1788985080497	parent	3.4217	240	18818	1520766	104909
406ba345	—	1331	800+	survey	1788984949268	1788985080497	agents	1.0308	76	46394	907899	154047
406ba345	—	1331	800+	design	1788985153881	1788985581615	parent	3.8950	420	37326	2563088	69188
406ba345	—	1331	800+	design	1788985153881	1788985581615	agents	8.8382	270	309946	18244891	835698
406ba345	—	1331	800+	plan	1788986715936	1788990532186	parent	3.9364	492	27126	5010966	66123
406ba345	—	1331	800+	plan	1788986715936	1788990532186	agents	9.8309	272	256987	29842549	516805
406ba345	—	1331	800+	build	1788990726247	1789044993491	parent	25.8297	1344	66363	19134589	885721
406ba345	—	1331	800+	build	1788990726247	1789044993491	agents	20.2304	1138	463949	41416840	1788235
406ba345	—	1331	800+	verify	1789042199497	1789047199445	parent	11.3604	1018	59753	22091004	141992
406ba345	—	1331	800+	verify	1789042199497	1789047199445	agents	21.2043	474	226223	15240503	1268184
406ba345	—	1331	800+	audit	1789048347988	1789049079982	parent	6.9170	578	58117	2645199	167205
406ba345	—	1331	800+	audit	1789048347988	1789049079982	agents	0.2561	6	2456	29592	28786
406ba345	—	1331	800+	land	1789049510311	1789050008255	parent	2.5698	454	17345	3808685	37292
406ba345	—	1331	800+	land	1789049510311	1789050008255	agents	1.6242	38	27644	1134502	58500
441e07e0	0.74.0	24	<50	survey	1789849200572	1789849200572	parent	0.2651	16	3807	381051	37709
441e07e0	0.74.0	24	<50	survey	1789849200572	1789849200572	agents	1.0782	32	12631	694525	66402
45fffbe1	0.74.0	27	<50	survey	1789850677837	1789850677837	parent	0.2385	16	3279	362304	33297
45fffbe1	0.74.0	27	<50	survey	1789850677837	1789850677837	agents	1.1352	38	13636	820359	61427
47b58818	—	2129	800+	survey	1789683032039	1789683272610	parent	3.7200	50	38222	2962744	128281
47b58818	—	2129	800+	survey	1789683032039	1789683272610	agents	1.0381	98	36243	1532118	147619
47b58818	—	2129	800+	design	1789687519876	1789687519876	parent	4.3419	38	30795	3542287	180072
47b58818	—	2129	800+	design	1789687519876	1789687519876	agents	0.4280	14	24660	234807	53760
47b58818	—	2129	800+	plan	1789688256771	1789691127436	parent	3.9553	52	19562	6153715	38910
47b58818	—	2129	800+	plan	1789688256771	1789691127436	agents	0.4362	26	7802	781439	80735
47b58818	—	2129	800+	build	1789691415752	1789703698233	parent	31.1550	354	212696	43334668	416851
47b58818	—	2129	800+	build	1789691415752	1789703698233	agents	22.9334	1388	677488	39983679	2052998
47b58818	—	2129	800+	verify	1789700045369	1789703922219	parent	13.2543	184	99919	16974401	226823
47b58818	—	2129	800+	verify	1789700045369	1789703922219	agents	17.1782	990	562605	21125882	2929985
47b58818	—	2129	800+	audit	1789704574395	1789705960076	parent	11.7321	124	53657	18415635	118222
47b58818	—	2129	800+	audit	1789704574395	1789705960076	agents	14.1946	918	589938	20337549	1690353
47b58818	—	2129	800+	land	1789706416443	1789706669471	parent	2.2585	22	7180	3895043	13138
4b24d237	0.73.0	2499	800+	survey	1789788131811	1789788131811	parent	5.9465	60	78449	4322358	182382
4b24d237	0.73.0	2499	800+	survey	1789788131811	1789788131811	agents	1.6351	86	30675	1979538	372918
4b24d237	0.73.0	2499	800+	design	1789788188671	1789789711219	parent	2.1618	20	23775	2326463	40405
4b24d237	0.73.0	2499	800+	design	1789788188671	1789789711219	agents	50.7032	414	480439	56053065	1706186
4b24d237	0.73.0	2499	800+	plan	1789793291990	1789794041468	parent	2.1649	22	13053	2977884	34948
4b24d237	0.73.0	2499	800+	plan	1789793291990	1789794041468	agents	3.4022	118	83842	7673611	326213
4b24d237	0.73.0	2499	800+	build	1789794674978	1789825604918	parent	37.9617	228	132030	51377197	897124
4b24d237	0.73.0	2499	800+	build	1789794674978	1789825604918	agents	58.9258	2184	1079133	172023134	5490193
4b24d237	0.73.0	2499	800+	verify	1789821279610	1789826103747	parent	27.9829	138	54180	49635926	180977
4b24d237	0.73.0	2499	800+	verify	1789821279610	1789826103747	agents	28.7633	1642	900615	63815212	2796313
4b24d237	0.73.0	2499	800+	audit	1789826797704	1789826892964	parent	5.1940	22	13735	9074899	31309
4b24d237	0.73.0	2499	800+	audit	1789826797704	1789826892964	agents	1.1981	42	29763	2556025	155691
4b24d237	0.73.0	2499	800+	land	1789827328384	1789827771305	parent	5.6252	24	11061	10242545	22731
4b24d237	0.73.0	2499	800+	land	1789827328384	1789827771305	agents	0.0343	2	13	155691	1206
5121ea58	0.74.0	27	<50	survey	1789841115256	1789841115256	parent	0.8919	54	9300	2534929	72945
53648dd3	0.74.0	6	<50	survey	1789849153831	1789849153831	parent	0.4758	12	2897	198439	30407
54e93a90	—	424	200-799	survey	1789324553792	1789324783878	parent	1.8183	292	15845	1078478	88146
54e93a90	—	424	200-799	survey	1789324553792	1789324783878	agents	1.0008	50	39505	1161785	149314
54e93a90	—	424	200-799	design	1789325112434	1789325715189	parent	3.7073	388	53869	2547332	108500
54e93a90	—	424	200-799	design	1789325112434	1789325715189	agents	0.3466	10	20092	121971	48509
54e93a90	—	424	200-799	plan	1789326551409	1789326694095	parent	1.0892	132	7112	1435840	19281
54e93a90	—	424	200-799	build	1789326734130	1789328804796	parent	7.9602	758	67653	10253686	113820
54e93a90	—	424	200-799	build	1789326734130	1789328804796	agents	9.1042	630	379141	11809938	1179828
54e93a90	—	424	200-799	verify	1789329744712	1789330017768	parent	2.7649	228	24503	3463278	41956
54e93a90	—	424	200-799	land	1789330577418	1789330577418	parent	1.4424	130	8930	2073366	18183
5eda0ca3	—	118	50-199	survey	1789165616959	1789165616959	parent	3.6518	516	49493	2158523	133260
5eda0ca3	—	118	50-199	survey	1789165616959	1789165616959	agents	0.1780	14	6563	136132	34042
5eda0ca3	—	118	50-199	build	1789166198338	1789167780802	parent	2.7077	354	36467	2333176	62765
5eda0ca3	—	118	50-199	build	1789166198338	1789167780802	agents	0.6777	40	31210	813677	81122
5eda0ca3	—	118	50-199	verify	1789167125370	1789168441366	parent	6.7586	712	78599	7342633	111875
5eda0ca3	—	118	50-199	verify	1789167125370	1789168441366	agents	0.8060	56	21151	1308350	133092
5eda0ca3	—	118	50-199	land	1789168731329	1789169031632	parent	1.8720	224	16633	2470188	21992
624c57de	0.74.0	8	<50	survey	1789847557847	1789847557847	parent	0.6770	16	3884	315048	42226
6444bc74	0.74.0	20	<50	survey	1789854609740	1789854691815	parent	0.3303	22	3964	562258	44546
6444bc74	0.74.0	20	<50	survey	1789854609740	1789854691815	agents	0.4673	18	6026	225946	32566
6664db6c	0.74.0	3	<50	survey	1789852827998	1789852827998	parent	0.1386	6	5163	116707	15894
6ef14250	—	2079	800+	survey	1789245201627	1789245446256	parent	2.8710	328	34930	1502653	124475
6ef14250	—	2079	800+	survey	1789245201627	1789245446256	agents	0.6536	44	31315	514222	95022
6ef14250	—	2079	800+	design	1789245774863	1789247312000	parent	5.2405	520	85732	4079409	105488
6ef14250	—	2079	800+	design	1789245774863	1789247312000	agents	2.1054	100	62457	2594657	384675
6ef14250	—	2079	800+	plan	1789247817974	1789254073515	parent	8.4004	612	45583	6498639	400842
6ef14250	—	2079	800+	plan	1789247817974	1789254073515	agents	1.7943	96	58846	2894895	250676
6ef14250	—	2079	800+	build	1789254312163	1789269007528	parent	10.4326	1436	111529	11103493	208549
6ef14250	—	2079	800+	build	1789254312163	1789269007528	agents	7.7192	512	234730	18201380	692227
6ef14250	—	2079	800+	verify	1789258078254	1789269943140	parent	6.3858	744	54506	7404540	131715
6ef14250	—	2079	800+	verify	1789258078254	1789269943140	agents	14.2486	978	522590	25513405	1567238
6ef14250	—	2079	800+	audit	1789261472215	1789272151889	parent	19.1104	1720	200767	19550492	430733
6ef14250	—	2079	800+	audit	1789261472215	1789272151889	agents	31.7961	2008	1115185	62190788	3280822
6ef14250	—	2079	800+	land	1789272492882	1789272492882	parent	1.2128	130	10176	1499849	20779
73b21b2c	—	301	200-799	survey	1788894874883	1788895047439	parent	3.2419	328	18854	1353697	97873
73b21b2c	—	301	200-799	survey	1788894874883	1788895047439	agents	0.4850	4	13776	46807	135159
73b21b2c	—	301	200-799	design	1788895273439	1788895273439	parent	1.6467	258	15445	1359923	26593
73b21b2c	—	301	200-799	design	1788895273439	1788895273439	agents	0.8768	38	14113	1173222	200392
73b21b2c	—	301	200-799	build	1788895626756	1788898260509	parent	5.2868	818	37790	6821583	84184
73b21b2c	—	301	200-799	build	1788895626756	1788898260509	agents	8.5595	364	237570	21109628	784459
73b21b2c	—	301	200-799	verify	1788898550762	1788902012382	parent	3.0042	334	17336	4597069	49239
73b21b2c	—	301	200-799	verify	1788898550762	1788902012382	agents	1.2291	44	50799	1676642	154285
73b21b2c	—	301	200-799	land	1788903614932	1788903614932	parent	0.2687	64	1165	599850	2990
77118316	—	255	200-799	survey	1789716240557	1789716423737	parent	4.1746	38	52372	2645041	154255
77118316	—	255	200-799	survey	1789716240557	1789716423737	agents	3.8768	214	161872	5044205	499511
77118316	—	255	200-799	design	1789716673550	1789716673550	parent	2.0315	26	15187	2640948	33124
77118316	—	255	200-799	design	1789716673550	1789716673550	agents	1.3500	78	60503	1635253	167108
77118316	—	255	200-799	build	1789717132799	1789717429406	parent	2.7266	34	14257	3991978	37404
77118316	—	255	200-799	build	1789717132799	1789717429406	agents	1.1143	60	49581	1989816	88146
77118316	—	255	200-799	verify	1789717869298	1789718170651	parent	2.3257	22	18020	3035276	35747
77118316	—	255	200-799	verify	1789717869298	1789718170651	agents	0.3421	16	14712	572186	32221
77118316	—	255	200-799	land	1789718283488	1789718420760	parent	1.9900	22	7096	3328108	14841
77c619a4	0.74.0	25	<50	survey	1789849464033	1789849464033	parent	0.2887	18	4560	428288	39356
77c619a4	0.74.0	25	<50	survey	1789849464033	1789849464033	agents	1.3146	32	14766	867264	81870
78168ff0	—	832	800+	survey	1788929668146	1788929994267	parent	4.4225	48	42316	2829123	194983
78168ff0	—	832	800+	survey	1788929668146	1788929994267	agents	0.9320	38	29800	1075185	167569
78168ff0	—	832	800+	design	1788930474330	1788930474330	parent	2.2691	28	23774	2598031	37561
78168ff0	—	832	800+	design	1788930474330	1788930474330	agents	0.6114	10	38100	222760	74322
78168ff0	—	832	800+	plan	1788931199963	1788931436441	parent	2.2542	28	17517	3039477	29638
78168ff0	—	832	800+	build	1788931861380	1788939252178	parent	24.1478	238	116290	38660056	190929
78168ff0	—	832	800+	build	1788931861380	1788939252178	agents	19.4302	948	290854	59642366	1836519
78168ff0	—	832	800+	verify	1788939494082	1788940545088	parent	6.0345	44	25211	9820727	49366
78168ff0	—	832	800+	verify	1788939494082	1788940545088	agents	1.9942	132	35901	4943544	258491
78168ff0	—	832	800+	audit	1788940770274	1788941387571	parent	4.1508	76	40621	4131250	106922
78168ff0	—	832	800+	audit	1788940770274	1788941387571	agents	1.0314	56	24436	2520480	113132
78168ff0	—	832	800+	land	1788941931063	1788942241107	parent	1.0161	18	7927	1349096	14329
78c807fd	—	814	800+	survey	1788800623682	1788800835090	parent	2.7735	40	31050	1920019	103701
78c807fd	—	814	800+	survey	1788800623682	1788800835090	agents	0.2571	8	3717	105158	79540
78c807fd	—	814	800+	design	1788800999275	1788801105473	parent	0.6806	8	7257	577852	21020
78c807fd	—	814	800+	build	1788801260183	1788809331043	parent	17.9425	218	104904	26928045	185482
78c807fd	—	814	800+	build	1788801260183	1788809331043	agents	30.6921	1160	645981	83173899	3038075
78c807fd	—	814	800+	verify	1788809533908	1788810959756	parent	6.3260	56	26487	10348268	48942
78c807fd	—	814	800+	verify	1788809533908	1788810959756	agents	2.7119	114	82322	5961995	278408
78c807fd	—	814	800+	land	1788811194916	1788811334814	parent	2.7427	24	6810	4833560	15551
7fc555ac	—	445	200-799	survey	1789070597950	1789070841761	parent	2.9916	50	28289	2412769	107778
7fc555ac	—	445	200-799	survey	1789070597950	1789070841761	agents	2.1814	206	70142	4764377	210676
7fc555ac	—	445	200-799	design	1789071029950	1789071029950	parent	3.1074	38	37547	3237557	54978
7fc555ac	—	445	200-799	design	1789071029950	1789071029950	agents	0.3548	30	15876	449119	42452
7fc555ac	—	445	200-799	build	1789071542139	1789075541374	parent	6.5908	78	48265	9167019	80032
7fc555ac	—	445	200-799	build	1789071542139	1789075541374	agents	4.1805	242	145953	6683634	553499
7fc555ac	—	445	200-799	verify	1789073090021	1789076136194	parent	6.4949	64	36227	9970061	60391
7fc555ac	—	445	200-799	verify	1789073090021	1789076136194	agents	2.2220	172	70564	4606193	237895
7fc555ac	—	445	200-799	land	1789076468162	1789076468162	parent	1.0714	10	4432	1728819	9610
8033f98e	—	401	200-799	survey	1789707600838	1789707979098	parent	7.0436	62	75094	5621855	235499
8033f98e	—	401	200-799	survey	1789707600838	1789707979098	agents	3.5394	216	106934	7390711	396606
8033f98e	—	401	200-799	design	1789708337011	1789708337011	parent	4.7600	50	26521	7203320	49510
8033f98e	—	401	200-799	design	1789708337011	1789708337011	agents	3.1152	242	80412	7338939	337136
8033f98e	—	401	200-799	build	1789708887368	1789709997784	parent	6.5906	60	24077	10550565	71306
8033f98e	—	401	200-799	build	1789708887368	1789709997784	agents	1.8160	122	62276	3977533	159013
8033f98e	—	401	200-799	verify	1789709907315	1789709953073	parent	1.8822	16	5757	3164460	15598
8033f98e	—	401	200-799	verify	1789709907315	1789709953073	agents	0.1501	14	1177	638777	4202
8033f98e	—	401	200-799	land	1789710007053	1789710240133	parent	2.5586	20	10508	4148132	22170
844093d2	—	1893	800+	survey	1789399411341	1789399556871	parent	2.9448	34	31987	1935074	117746
844093d2	—	1893	800+	survey	1789399411341	1789399556871	agents	1.8205	82	41725	2130678	390792
844093d2	—	1893	800+	design	1789399996032	1789401613629	parent	9.8369	100	92164	12146395	145911
844093d2	—	1893	800+	design	1789399996032	1789401613629	agents	11.8903	276	202822	12168124	735810
844093d2	—	1893	800+	plan	1789402603478	1789402787976	parent	6.7230	60	39719	10126970	66620
844093d2	—	1893	800+	plan	1789402603478	1789402787976	agents	1.4153	80	23575	3635762	180900
844093d2	—	1893	800+	build	1789403406140	1789447437799	parent	53.4036	684	394345	70627025	822809
844093d2	—	1893	800+	build	1789403406140	1789447437799	agents	29.5082	1486	760610	73314222	2894517
844093d2	—	1893	800+	verify	1789416995697	1789448452248	parent	17.2004	148	102773	17548045	585632
844093d2	—	1893	800+	verify	1789416995697	1789448452248	agents	10.4459	612	400436	19149346	1044170
844093d2	—	1893	800+	audit	1789448821040	1789449929700	parent	10.8185	110	75113	15502013	118907
844093d2	—	1893	800+	audit	1789448821040	1789449929700	agents	1.7400	110	79647	3355328	108898
844093d2	—	1893	800+	land	1789451538691	1789451538691	parent	0.4198	4	1351	659967	5599
862d2d16	0.74.0	9	<50	survey	1789844381040	1789844381040	parent	0.7852	18	3364	367330	51737
8676de40	—	212	200-799	survey	1789604818717	1789604818717	parent	4.2713	44	49940	2807943	161863
8676de40	—	212	200-799	survey	1789604818717	1789604818717	agents	0.6298	38	27408	918199	68792
8676de40	—	212	200-799	plan	1789605527823	1789625443786	parent	2.4271	6	3084	401205	214932
8676de40	—	212	200-799	plan	1789605527823	1789625443786	agents	0.0336	2	4	68792	7925
8676de40	—	212	200-799	build	1789625489342	1789626302258	parent	4.7336	58	31873	6735718	56864
8676de40	—	212	200-799	build	1789625489342	1789626302258	agents	2.4818	172	84053	3734898	357583
